words,pos,chunk,labels,sentence_id
managers,_,O,O,0
strive,_,O,O,0
to,_,O,O,0
improve,_,O,O,0
the,_,O,O,0
quality,_,O,O,0
of,_,O,O,0
financial,_,O,B-THE,0
disclosure,_,O,I-THE,0
following,_,O,O,0
superior,_,O,O,0
CSR,_,O,B-THE,0
performance,_,O,I-THE,0
in,_,O,O,0
the,_,O,O,0
recent,_,O,O,0
period,_,O,O,0
.,_,O,O,0
©,_,O,O,0
2015,_,O,O,0
",",_,O,O,0
Springer,_,O,O,0
Science,_,O,O,0
#ERROR!,_,O,O,0
Business,_,O,O,0
Media,_,O,O,0
Dordrecht,_,O,O,0
.,_,O,O,0
Drawing,_,O,O,1
on,_,O,O,1
institutional,_,O,B-THE,1
and,_,O,I-THE,1
signaling,_,O,I-THE,1
theories,_,O,I-THE,1
",",_,O,O,1
this,_,O,O,1
study,_,O,O,1
examines,_,O,O,1
how,_,O,O,1
environmental,_,O,B-THE,1
corporate,_,O,I-THE,1
social,_,O,I-THE,1
responsibility,_,O,I-THE,1
(,_,O,I-THE,1
ECSR,_,O,I-THE,1
),_,O,I-THE,1
affects,_,O,O,1
firm,_,O,O,1
performance,_,O,O,1
in,_,O,O,1
a,_,O,O,1
dysfunctional,_,O,B-THE,1
institutional,_,O,I-THE,1
environment,_,O,I-THE,1
.,_,O,O,1
We,_,O,O,1
extend,_,O,O,1
the,_,O,O,1
ECSR,_,O,B-THE,1
literature,_,O,O,1
by,_,O,O,1
suggesting,_,O,O,1
that,_,O,O,1
ECSR,_,O,B-THE,1
indirectly,_,O,O,1
influences,_,O,O,1
firm,_,O,B-THE,1
performance,_,O,I-THE,1
through,_,O,O,1
the,_,O,O,1
mediating,_,O,O,1
effects,_,O,O,1
of,_,O,O,1
business,_,O,B-THE,1
and,_,O,I-THE,1
political,_,O,I-THE,1
legitimacy,_,O,I-THE,1
.,_,O,O,1
Based,_,O,O,1
on,_,O,O,1
a,_,O,O,1
dataset,_,O,O,1
of,_,O,O,1
238,_,O,O,1
firms,_,O,B-THE,1
in,_,O,I-THE,1
China,_,O,O,1
",",_,O,O,1
we,_,O,O,1
find,_,O,O,1
that,_,O,O,1
ECSR,_,O,B-THE,1
affects,_,O,O,1
business,_,O,B-THE,1
and,_,O,I-THE,1
political,_,O,I-THE,1
legitimacy,_,O,I-THE,1
followed,_,O,O,1
by,_,O,O,1
firm,_,O,I-THE,1
performance,_,O,I-THE,1
.,_,O,O,1
Moreover,_,O,O,1
",",_,O,O,1
legal,_,O,B-THE,1
incompleteness,_,O,I-THE,1
weakens,_,O,O,1
and,_,O,O,1
legal,_,O,B-THE,1
inefficiency,_,O,I-THE,1
strengthens,_,O,O,1
the,_,O,O,1
effects,_,O,O,1
of,_,O,O,1
ECSR,_,O,B-THE,1
on,_,O,O,1
business,_,O,B-THE,1
and,_,O,I-THE,1
political,_,O,I-THE,1
legitimacy,_,O,I-THE,1
.,_,O,O,1
©,_,O,O,1
2015,_,O,O,1
",",_,O,O,1
Springer,_,O,O,1
Science,_,O,O,1
#ERROR!,_,O,O,1
Business,_,O,O,1
Media,_,O,O,1
Dordrecht,_,O,O,1
.,_,O,O,1
Socially,_,O,B-THE,2
responsible,_,O,I-THE,2
investment,_,O,I-THE,2
(,_,O,I-THE,2
SRI,_,O,I-THE,2
),_,O,I-THE,2
has,_,O,O,2
grown,_,O,O,2
enormously,_,O,O,2
and,_,O,O,2
has,_,O,O,2
expanded,_,O,O,2
globally,_,O,O,2
in,_,O,O,2
recent,_,O,O,2
years,_,O,O,2
.,_,O,O,2
It,_,O,O,2
allows,_,O,O,2
SRI,_,O,B-THE,2
investors,_,O,I-THE,2
to,_,O,O,2
reduce,_,O,O,2
their,_,O,O,2
portfolio,_,O,B-THE,2
risk,_,O,I-THE,2
assumptions,_,O,I-THE,2
through,_,O,O,2
international,_,O,B-THE,2
diversification,_,O,I-THE,2
.,_,O,O,2
In,_,O,O,2
this,_,O,O,2
context,_,O,O,2
",",_,O,O,2
the,_,O,O,2
aim,_,O,O,2
of,_,O,O,2
this,_,O,O,2
paper,_,O,O,2
is,_,O,O,2
twofold,_,O,O,2
(,_,O,O,2
i,_,O,O,2
),_,O,O,2
to,_,O,O,2
examine,_,O,O,2
price,_,O,B-THE,2
and,_,O,I-THE,2
volatility,_,O,I-THE,2
linkages,_,O,I-THE,2
among,_,O,O,2
the,_,O,O,2
most,_,O,O,2
representative,_,O,O,2
SRI,_,O,B-THE,2
indexes,_,O,I-THE,2
for,_,O,O,2
North,_,O,O,2
America,_,O,O,2
",",_,O,O,2
Europe,_,O,O,2
",",_,O,O,2
and,_,O,O,2
Asia-Pacific,_,O,O,2
employing,_,O,O,2
a,_,O,O,2
multivariate,_,O,B-THE,2
approach,_,O,I-THE,2
and,_,O,O,2
(,_,O,O,2
ii,_,O,O,2
),_,O,O,2
to,_,O,O,2
provide,_,O,O,2
the,_,O,O,2
out-of-sample,_,O,B-THE,2
performance,_,O,I-THE,2
of,_,O,O,2
an,_,O,O,2
optimal,_,O,O,2
portfolio,_,O,O,2
constructed,_,O,O,2
on,_,O,O,2
the,_,O,O,2
basis,_,O,O,2
of,_,O,O,2
time-varying,_,O,B-THE,2
return,_,O,I-THE,2
and,_,O,O,2
volatility,_,O,B-THE,2
forecasts,_,O,I-THE,2
from,_,O,O,2
this,_,O,O,2
specification,_,O,O,2
approach,_,O,O,2
.,_,O,O,2
Our,_,O,O,2
overall,_,O,O,2
results,_,O,O,2
show,_,O,O,2
that,_,O,O,2
using,_,O,O,2
this,_,O,O,2
technique,_,O,O,2
",",_,O,O,2
it,_,O,O,2
is,_,O,O,2
possible,_,O,O,2
to,_,O,O,2
reduce,_,O,O,2
risk,_,O,O,2
and,_,O,O,2
out-perform,_,O,O,2
the,_,O,O,2
naïve,_,O,B-THE,2
rule,_,O,I-THE,2
",",_,O,O,2
which,_,O,O,2
is,_,O,O,2
usually,_,O,O,2
employed,_,O,O,2
in,_,O,O,2
this,_,O,O,2
type,_,O,O,2
of,_,O,O,2
investment,_,O,O,2
.,_,O,O,2
These,_,O,O,2
findings,_,O,O,2
are,_,O,O,2
relevant,_,O,O,2
not,_,O,O,2
only,_,O,O,2
for,_,O,O,2
academics,_,O,O,2
but,_,O,O,2
also,_,O,O,2
for,_,O,O,2
practitioners,_,O,O,2
",",_,O,O,2
especially,_,O,O,2
for,_,O,O,2
professional,_,O,O,2
managers,_,O,O,2
of,_,O,O,2
SRI,_,O,B-THE,2
portfolios,_,O,I-THE,2
.,_,O,O,2
©,_,O,O,2
2015,_,O,O,2
",",_,O,O,2
Springer,_,O,O,2
Science,_,O,O,2
#ERROR!,_,O,O,2
Business,_,O,O,2
Media,_,O,O,2
Dordrecht,_,O,O,2
.,_,O,O,2
The,_,O,O,3
paper,_,O,O,3
aim,_,O,O,3
draws,_,O,O,3
together,_,O,O,3
two,_,O,O,3
ideas,_,O,O,3
that,_,O,O,3
have,_,O,O,3
figured,_,O,O,3
in,_,O,O,3
different,_,O,O,3
strands,_,O,O,3
of,_,O,O,3
discussion,_,O,O,3
in,_,O,O,3
business,_,O,B-THE,3
ethics,_,O,I-THE,3
:,_,O,O,3
the,_,O,O,3
ideas,_,O,O,3
of,_,O,O,3
intuition,_,O,B-THE,3
and,_,O,O,3
of,_,O,O,3
reflection,_,O,I-THE,3
.,_,O,O,3
They,_,O,O,3
are,_,O,O,3
considered,_,O,O,3
in,_,O,O,3
company,_,O,O,3
with,_,O,O,3
the,_,O,O,3
third,_,O,O,3
",",_,O,O,3
complementary,_,O,O,3
",",_,O,O,3
idea,_,O,B-THE,3
of,_,O,I-THE,3
analysis,_,O,I-THE,3
.,_,O,O,3
It,_,O,O,3
is,_,O,O,3
argued,_,O,O,3
that,_,O,O,3
the,_,O,O,3
interplay,_,O,O,3
amongst,_,O,O,3
these,_,O,O,3
is,_,O,O,3
very,_,O,O,3
important,_,O,O,3
in,_,O,O,3
business,_,O,B-THE,3
ethics,_,O,I-THE,3
.,_,O,O,3
The,_,O,O,3
relationship,_,O,O,3
amongst,_,O,O,3
the,_,O,O,3
three,_,O,O,3
ideas,_,O,O,3
can,_,O,O,3
be,_,O,O,3
understood,_,O,O,3
by,_,O,O,3
reference,_,O,O,3
to,_,O,O,3
parts,_,O,O,3
of,_,O,O,3
modern,_,O,B-THE,3
cognitive,_,O,I-THE,3
psychology,_,O,I-THE,3
",",_,O,O,3
including,_,O,O,3
dual-process,_,O,B-THE,3
theory,_,O,I-THE,3
and,_,O,O,3
the,_,O,O,3
Social,_,O,B-THE,3
Intuitionist,_,O,I-THE,3
Model,_,O,I-THE,3
.,_,O,O,3
Intuition,_,O,B-THE,3
can,_,O,O,3
be,_,O,O,3
misleading,_,O,O,3
when,_,O,O,3
based,_,O,O,3
on,_,O,O,3
fast,_,O,O,3
and,_,O,O,3
frugal,_,O,O,3
heuristics,_,O,O,3
",",_,O,O,3
and,_,O,O,3
reasoning,_,O,O,3
needs,_,O,O,3
social,_,O,B-THE,3
exchange,_,O,I-THE,3
if,_,O,O,3
it,_,O,O,3
is,_,O,O,3
to,_,O,O,3
support,_,O,O,3
moral,_,O,B-THE,3
judgment,_,O,I-THE,3
effectively,_,O,O,3
",",_,O,O,3
but,_,O,O,3
in,_,O,O,3
the,_,O,O,3
complex,_,O,B-THE,3
institutional,_,O,I-THE,3
environment,_,O,I-THE,3
of,_,O,O,3
business,_,O,O,3
",",_,O,O,3
reflection,_,O,O,3
and,_,O,O,3
analysis,_,O,O,3
can,_,O,O,3
underpin,_,O,O,3
social,_,O,B-THE,3
communication,_,O,I-THE,3
and,_,O,O,3
feedback,_,O,O,3
to,_,O,O,3
develop,_,O,O,3
sound,_,O,O,3
intuition,_,O,B-THE,3
.,_,O,O,3
Reflection,_,O,B-THE,3
and,_,O,O,3
analysis,_,O,O,3
are,_,O,O,3
both,_,O,O,3
more,_,O,O,3
deliberate,_,O,O,3
",",_,O,O,3
systematic,_,O,B-THE,3
judgment,_,O,I-THE,3
processes,_,O,I-THE,3
than,_,O,O,3
intuition,_,O,O,3
",",_,O,O,3
but,_,O,O,3
are,_,O,O,3
distinguished,_,O,O,3
by,_,O,O,3
the,_,O,O,3
fact,_,O,O,3
that,_,O,O,3
reflection,_,O,B-THE,3
embraces,_,O,O,3
hypothetical,_,O,B-THE,3
thinking,_,O,I-THE,3
and,_,O,O,3
imagination,_,O,B-THE,3
",",_,O,O,3
while,_,O,O,3
analysis,_,O,O,3
is,_,O,O,3
careful,_,O,O,3
",",_,O,O,3
step-by-step,_,O,B-THE,3
reasoning,_,O,I-THE,3
.,_,O,O,3
Examples,_,O,O,3
of,_,O,O,3
business,_,O,B-THE,3
ethics,_,O,I-THE,3
problems,_,O,O,3
illustrate,_,O,O,3
the,_,O,O,3
need,_,O,O,3
for,_,O,O,3
both,_,O,O,3
of,_,O,O,3
these,_,O,O,3
processes,_,O,O,3
",",_,O,O,3
and,_,O,O,3
also,_,O,O,3
suggest,_,O,O,3
how,_,O,O,3
they,_,O,O,3
themselves,_,O,O,3
can,_,O,O,3
be,_,O,O,3
enhanced,_,O,O,3
in,_,O,O,3
the,_,O,O,3
same,_,O,O,3
social,_,O,B-THE,3
exchange,_,O,I-THE,3
process,_,O,I-THE,3
that,_,O,O,3
underpins,_,O,O,3
the,_,O,O,3
development,_,O,O,3
of,_,O,O,3
good,_,O,O,3
intuition,_,O,B-THE,3
.,_,O,O,3
©,_,O,O,3
2015,_,O,O,3
",",_,O,O,3
Springer,_,O,O,3
Science,_,O,O,3
#ERROR!,_,O,O,3
Business,_,O,O,3
Media,_,O,O,3
Dordrecht,_,O,O,3
.,_,O,O,3
Consumer,_,O,B-THE,4
trust,_,O,I-THE,4
is,_,O,O,4
a,_,O,O,4
key,_,O,O,4
prerequisite,_,O,O,4
for,_,O,O,4
establishing,_,O,O,4
a,_,O,O,4
market,_,O,O,4
for,_,O,O,4
credence,_,O,O,4
goods,_,O,O,4
",",_,O,O,4
such,_,O,O,4
as,_,O,O,4
“,_,O,B-THE,4
green,_,O,I-THE,4
”,_,O,I-THE,4
products,_,O,I-THE,4
",",_,O,O,4
especially,_,O,O,4
when,_,O,O,4
they,_,O,O,4
are,_,O,O,4
premium,_,O,B-THE,4
priced,_,O,I-THE,4
.,_,O,O,4
This,_,O,O,4
article,_,O,O,4
reports,_,O,O,4
research,_,O,O,4
on,_,O,O,4
exactly,_,O,O,4
how,_,O,O,4
",",_,O,O,4
and,_,O,O,4
how,_,O,O,4
much,_,O,O,4
",",_,O,O,4
trust,_,O,B-THE,4
influences,_,O,O,4
consumer,_,O,B-THE,4
decisions,_,O,I-THE,4
to,_,O,O,4
buy,_,O,O,4
new,_,O,O,4
green,_,O,B-THE,4
products,_,O,I-THE,4
.,_,O,O,4
It,_,O,O,4
identifies,_,O,O,4
consumer,_,O,B-THE,4
trust,_,O,I-THE,4
as,_,O,O,4
a,_,O,O,4
distinct,_,O,O,4
volition,_,O,O,4
factor,_,O,O,4
influencing,_,O,O,4
the,_,O,O,4
likelihood,_,O,O,4
that,_,O,O,4
consumers,_,O,O,4
will,_,O,O,4
act,_,O,O,4
on,_,O,O,4
green,_,O,B-THE,4
intentions,_,O,I-THE,4
and,_,O,O,4
strongly,_,O,O,4
emphasizes,_,O,O,4
the,_,O,O,4
needs,_,O,O,4
to,_,O,O,4
manage,_,O,O,4
consumer,_,O,B-THE,4
trust,_,O,I-THE,4
as,_,O,O,4
a,_,O,O,4
prerequisite,_,O,O,4
for,_,O,O,4
the,_,O,O,4
development,_,O,O,4
of,_,O,O,4
a,_,O,O,4
market,_,O,O,4
for,_,O,O,4
green,_,O,B-THE,4
products,_,O,I-THE,4
.,_,O,O,4
Specifically,_,O,O,4
",",_,O,O,4
based,_,O,O,4
on,_,O,O,4
a,_,O,O,4
mixture,_,O,O,4
of,_,O,O,4
qualitative,_,O,O,4
and,_,O,O,4
quantitative,_,O,O,4
methods,_,O,O,4
",",_,O,O,4
it,_,O,O,4
is,_,O,O,4
found,_,O,O,4
that,_,O,O,4
lack,_,O,O,4
of,_,O,O,4
consumer,_,O,B-THE,4
trust,_,O,I-THE,4
is,_,O,O,4
a,_,O,O,4
barrier,_,O,O,4
for,_,O,O,4
the,_,O,O,4
development,_,O,O,4
of,_,O,O,4
a,_,O,O,4
market,_,O,O,4
for,_,O,O,4
organic,_,O,B-THE,4
food,_,O,I-THE,4
in,_,O,O,4
Thailand,_,O,B-THE,4
.,_,O,O,4
Two,_,O,O,4
focus,_,O,O,4
groups,_,O,O,4
and,_,O,O,4
ten,_,O,O,4
in-depth,_,O,O,4
interviews,_,O,O,4
revealed,_,O,O,4
low,_,O,O,4
knowledge,_,O,O,4
about,_,O,O,4
and,_,O,O,4
low,_,O,O,4
trust,_,O,O,4
in,_,O,O,4
organic,_,O,B-THE,4
food,_,O,I-THE,4
",",_,O,O,4
certification,_,O,B-THE,4
",",_,O,O,4
control,_,O,B-THE,4
",",_,O,O,4
and,_,O,O,4
labeling,_,O,B-THE,4
.,_,O,O,4
Further,_,O,O,4
",",_,O,O,4
a,_,O,O,4
mall-intercept,_,O,O,4
survey,_,O,O,4
(,_,O,O,4
N,_,O,O,4
#ERROR!,_,O,O,4
177,_,O,O,4
),_,O,O,4
revealed,_,O,O,4
that,_,O,O,4
lack,_,O,O,4
of,_,O,O,4
(,_,O,O,4
especially,_,O,O,4
),_,O,O,4
system,_,O,B-THE,4
trust,_,O,I-THE,4
reduces,_,O,O,4
consumer,_,O,O,4
expectations,_,O,O,4
about,_,O,O,4
benefits,_,O,O,4
of,_,O,O,4
buying,_,O,O,4
organic,_,O,B-THE,4
food,_,O,I-THE,4
",",_,O,O,4
and,_,O,O,4
it,_,O,O,4
makes,_,O,O,4
them,_,O,O,4
less,_,O,O,4
likely,_,O,O,4
to,_,O,O,4
buy,_,O,O,4
organic,_,O,B-THE,4
food,_,O,I-THE,4
.,_,O,O,4
Mistrust,_,O,O,4
in,_,O,O,4
the,_,O,O,4
control,_,O,O,4
system,_,O,O,4
and,_,O,O,4
in,_,O,O,4
the,_,O,O,4
authenticity,_,O,O,4
of,_,O,O,4
food,_,O,O,4
sold,_,O,O,4
as,_,O,O,4
organic,_,O,B-THE,4
has,_,O,O,4
a,_,O,O,4
significant,_,O,O,4
negative,_,O,O,4
impact,_,O,O,4
on,_,O,O,4
self-reported,_,O,B-THE,4
buying,_,O,I-THE,4
behavior,_,O,I-THE,4
.,_,O,O,4
Implications,_,O,O,4
for,_,O,O,4
policy,_,O,O,4
and,_,O,O,4
future,_,O,O,4
research,_,O,O,4
are,_,O,O,4
discussed,_,O,O,4
.,_,O,O,4
©,_,O,O,4
2015,_,O,O,4
",",_,O,O,4
Springer,_,O,O,4
Science,_,O,O,4
#ERROR!,_,O,O,4
Business,_,O,O,4
Media,_,O,O,4
Dordrecht,_,O,O,4
.,_,O,O,4
We,_,O,O,5
examine,_,O,O,5
market,_,O,O,5
reactions,_,O,O,5
to,_,O,O,5
the,_,O,O,5
stock,_,O,B-THE,5
options,_,O,I-THE,5
backdating,_,O,I-THE,5
scandal,_,O,I-THE,5
in,_,O,O,5
a,_,O,O,5
slightly,_,O,O,5
unusual,_,O,O,5
way,_,O,O,5
",",_,O,O,5
but,_,O,O,5
focusing,_,O,O,5
on,_,O,O,5
firms,_,O,O,5
who,_,O,O,5
were,_,O,O,5
not,_,O,O,5
perceived,_,O,O,5
to,_,O,O,5
have,_,O,O,5
had,_,O,O,5
a,_,O,O,5
backdating,_,O,B-THE,5
concern,_,O,I-THE,5
",",_,O,O,5
but,_,O,O,5
were,_,O,O,5
instead,_,O,O,5
linked,_,O,O,5
to,_,O,O,5
firms,_,O,O,5
who,_,O,O,5
did,_,O,O,5
have,_,O,O,5
a,_,O,O,5
backdating,_,O,B-THE,5
concern,_,O,I-THE,5
.,_,O,O,5
These,_,O,O,5
linkages,_,O,O,5
can,_,O,O,5
be,_,O,O,5
found,_,O,O,5
via,_,O,O,5
board,_,O,B-THE,5
interlocks,_,O,I-THE,5
and,_,O,O,5
the,_,O,O,5
roles,_,O,O,5
those,_,O,O,5
directors,_,O,B-THE,5
perform,_,O,O,5
.,_,O,O,5
In,_,O,O,5
addition,_,O,O,5
we,_,O,O,5
examine,_,O,O,5
the,_,O,O,5
linkages,_,O,O,5
which,_,O,O,5
occur,_,O,O,5
from,_,O,O,5
shared,_,O,B-THE,5
professional,_,O,I-THE,5
services,_,O,I-THE,5
firms,_,O,I-THE,5
",",_,O,O,5
such,_,O,O,5
as,_,O,O,5
auditors,_,O,B-THE,5
and,_,O,O,5
outside,_,O,B-THE,5
legal,_,O,I-THE,5
counsel,_,O,I-THE,5
.,_,O,O,5
That,_,O,O,5
these,_,O,O,5
potential,_,O,O,5
conduits,_,O,O,5
are,_,O,O,5
available,_,O,O,5
is,_,O,O,5
not,_,O,O,5
in,_,O,O,5
question,_,O,O,5
",",_,O,O,5
but,_,O,O,5
rather,_,O,O,5
",",_,O,O,5
do,_,O,O,5
investors,_,O,B-THE,5
perceive,_,O,O,5
the,_,O,O,5
conduits,_,O,O,5
are,_,O,O,5
used,_,O,O,5
to,_,O,O,5
pass,_,O,O,5
along,_,O,O,5
information,_,O,O,5
about,_,O,O,5
backdating,_,O,B-THE,5
stock,_,O,I-THE,5
options,_,O,I-THE,5
?,_,O,O,5
We,_,O,O,5
then,_,O,O,5
ask,_,O,O,5
if,_,O,O,5
affiliation,_,O,O,5
with,_,O,O,5
dominant,_,O,O,5
audit,_,O,B-THE,5
and,_,O,I-THE,5
legal,_,O,I-THE,5
services,_,O,I-THE,5
firms,_,O,O,5
ameliorates,_,O,O,5
or,_,O,O,5
exacerbates,_,O,O,5
those,_,O,O,5
investor,_,O,B-THE,5
market,_,O,I-THE,5
reactions,_,O,I-THE,5
.,_,O,O,5
We,_,O,O,5
find,_,O,O,5
that,_,O,O,5
firms,_,O,O,5
linked,_,O,O,5
to,_,O,O,5
the,_,O,O,5
scandalized,_,O,O,5
firms,_,O,O,5
also,_,O,O,5
face,_,O,O,5
negative,_,O,O,5
reactions,_,O,O,5
",",_,O,O,5
which,_,O,O,5
are,_,O,O,5
worsened,_,O,O,5
when,_,O,O,5
they,_,O,O,5
also,_,O,O,5
are,_,O,O,5
serviced,_,O,O,5
by,_,O,O,5
professional,_,O,B-THE,5
services,_,O,I-THE,5
firms,_,O,I-THE,5
who,_,O,O,5
are,_,O,O,5
themselves,_,O,O,5
are,_,O,O,5
also,_,O,O,5
linked,_,O,O,5
to,_,O,O,5
the,_,O,O,5
managerial,_,O,B-THE,5
practice,_,O,I-THE,5
.,_,O,O,5
©,_,O,O,5
2015,_,O,O,5
",",_,O,O,5
Springer,_,O,O,5
Science,_,O,O,5
#ERROR!,_,O,O,5
Business,_,O,O,5
Media,_,O,O,5
Dordrecht,_,O,O,5
.,_,O,O,5
Drawing,_,O,O,6
on,_,O,O,6
ethical,_,O,B-THE,6
principles,_,O,I-THE,6
of,_,O,I-THE,6
fairness,_,O,I-THE,6
and,_,O,O,6
integrative,_,O,B-THE,6
social,_,O,I-THE,6
contracts,_,O,I-THE,6
theory,_,O,I-THE,6
",",_,O,O,6
moral,_,O,B-THE,6
obligations,_,O,I-THE,6
of,_,O,O,6
fair,_,O,B-THE,6
dealing,_,O,I-THE,6
exist,_,O,O,6
between,_,O,O,6
the,_,O,O,6
firm,_,O,O,6
and,_,O,O,6
all,_,O,O,6
shareholders,_,O,I-THE,6
.,_,O,O,6
This,_,O,O,6
study,_,O,O,6
investigates,_,O,O,6
empirically,_,O,O,6
whether,_,O,O,6
privileged,_,O,B-THE,6
investors,_,O,I-THE,6
of,_,O,O,6
publicly,_,O,B-THE,6
traded,_,O,I-THE,6
firms,_,O,B-THE,6
engage,_,O,O,6
in,_,O,O,6
legal,_,O,O,6
",",_,O,O,6
but,_,O,O,6
morally,_,O,O,6
questionable,_,O,O,6
",",_,O,O,6
trading,_,O,O,6
that,_,O,O,6
at,_,O,O,6
the,_,O,O,6
expense,_,O,O,6
of,_,O,O,6
non-privileged,_,O,B-THE,6
institutional,_,O,I-THE,6
or,_,O,O,6
atomistic,_,O,B-THE,6
investors,_,O,I-THE,6
.,_,O,O,6
In,_,O,O,6
this,_,O,O,6
context,_,O,O,6
",",_,O,O,6
we,_,O,O,6
define,_,O,O,6
privilege,_,O,B-THE,6
as,_,O,O,6
the,_,O,O,6
access,_,O,O,6
to,_,O,O,6
material,_,O,O,6
",",_,O,O,6
nonpublic,_,O,B-THE,6
earnings,_,O,I-THE,6
surprise,_,O,B-THE,6
information,_,O,I-THE,6
.,_,O,O,6
Our,_,O,O,6
results,_,O,O,6
show,_,O,O,6
that,_,O,O,6
the,_,O,O,6
opportunity,_,O,O,6
for,_,O,O,6
procedural,_,O,B-THE,6
unfairness,_,O,I-THE,6
(,_,O,O,6
e.g,_,O,O,6
.,_,O,O,6
",",_,O,O,6
the,_,O,O,6
likelihood,_,O,O,6
of,_,O,O,6
an,_,O,O,6
earnings,_,O,B-THE,6
surprise,_,O,I-THE,6
and,_,O,O,6
information,_,O,B-THE,6
asymmetry,_,O,I-THE,6
),_,O,O,6
increases,_,O,O,6
with,_,O,O,6
the,_,O,O,6
presence,_,O,O,6
of,_,O,O,6
privileged,_,O,B-THE,6
investors,_,O,I-THE,6
.,_,O,O,6
However,_,O,O,6
",",_,O,O,6
this,_,O,O,6
procedural,_,O,B-THE,6
unfairness,_,O,I-THE,6
does,_,O,O,6
not,_,O,O,6
appear,_,O,O,6
to,_,O,O,6
lead,_,O,O,6
to,_,O,O,6
distributive,_,O,B-THE,6
unfairness,_,O,I-THE,6
even,_,O,O,6
though,_,O,O,6
the,_,O,O,6
level,_,O,O,6
of,_,O,O,6
abnormal,_,O,B-THE,6
trading,_,O,I-THE,6
also,_,O,O,6
increases,_,O,O,6
with,_,O,O,6
the,_,O,O,6
presence,_,O,O,6
of,_,O,O,6
privileged,_,O,B-THE,6
investors,_,O,I-THE,6
.,_,O,O,6
That,_,O,O,6
is,_,O,O,6
",",_,O,O,6
our,_,O,O,6
findings,_,O,O,6
suggest,_,O,O,6
that,_,O,O,6
other,_,O,O,6
shareholders,_,O,B-THE,6
are,_,O,O,6
in,_,O,O,6
fact,_,O,O,6
better,_,O,O,6
off,_,O,O,6
from,_,O,O,6
an,_,O,O,6
outcome,_,O,O,6
perspective,_,O,O,6
given,_,O,O,6
that,_,O,O,6
the,_,O,O,6
abnormal,_,O,B-THE,6
stock,_,O,I-THE,6
price,_,O,I-THE,6
returns,_,O,O,6
upon,_,O,O,6
the,_,O,O,6
announcement,_,O,O,6
of,_,O,O,6
an,_,O,O,6
earnings,_,O,B-THE,6
surprise,_,O,I-THE,6
are,_,O,O,6
either,_,O,O,6
more,_,O,O,6
positive,_,O,O,6
(,_,O,O,6
in,_,O,O,6
response,_,O,O,6
to,_,O,O,6
a,_,O,O,6
favorable,_,O,B-THE,6
surprise,_,O,I-THE,6
),_,O,O,6
or,_,O,O,6
less,_,O,O,6
negative,_,O,O,6
(,_,O,O,6
in,_,O,O,6
the,_,O,O,6
case,_,O,O,6
of,_,O,O,6
an,_,O,O,6
unfavorable,_,O,B-THE,6
surprise,_,O,I-THE,6
),_,O,O,6
when,_,O,O,6
the,_,O,O,6
firm,_,O,O,6
has,_,O,O,6
a,_,O,O,6
high,_,O,O,6
proportion,_,O,O,6
of,_,O,O,6
privileged,_,O,B-THE,6
investors,_,O,I-THE,6
.,_,O,O,6
We,_,O,O,6
extract,_,O,O,6
the,_,O,O,6
important,_,O,O,6
implications,_,O,O,6
of,_,O,O,6
our,_,O,O,6
study,_,O,O,6
for,_,O,O,6
future,_,O,O,6
research,_,O,O,6
on,_,O,O,6
the,_,O,O,6
fairness,_,O,B-THE,6
of,_,O,I-THE,6
