words,pos,chunk,labels,sentence_id
of,_,O,I-THE,1
debt,_,O,I-THE,1
and,_,O,I-THE,1
equity,_,O,I-THE,1
claims,_,O,I-THE,1
is,_,O,O,1
a,_,O,O,1
special,_,O,O,1
case,_,O,O,1
of,_,O,O,1
the,_,O,O,1
supply,_,O,B-THE,1
side,_,O,I-THE,1
of,_,O,I-THE,1
the,_,O,I-THE,1
completeness,_,O,I-THE,1
of,_,O,I-THE,1
markets,_,O,I-THE,1
problem,_,O,I-THE,1
.,_,O,O,1
The,_,O,O,1
directors,_,O,O,1
of,_,O,O,1
such,_,O,O,1
[,_,O,O,1
joint-stock,_,O,O,1
],_,O,O,1
companies,_,O,O,1
",",_,O,O,1
however,_,O,O,1
",",_,O,O,1
being,_,O,O,1
the,_,O,O,1
managers,_,O,O,1
rather,_,O,O,1
of,_,O,O,1
other,_,O,O,1
people's,_,O,O,1
money,_,O,O,1
than,_,O,O,1
of,_,O,O,1
their,_,O,O,1
own,_,O,O,1
",",_,O,O,1
it,_,O,O,1
cannot,_,O,O,1
well,_,O,O,1
be,_,O,O,1
expected,_,O,O,1
",",_,O,O,1
that,_,O,O,1
they,_,O,O,1
should,_,O,O,1
watch,_,O,O,1
over,_,O,O,1
it,_,O,O,1
with,_,O,O,1
the,_,O,O,1
same,_,O,O,1
anxious,_,O,O,1
vigilance,_,O,O,1
with,_,O,O,1
which,_,O,O,1
the,_,O,O,1
partners,_,O,O,1
in,_,O,O,1
a,_,O,O,1
private,_,O,B-THE,1
copartnery,_,O,I-THE,1
frequently,_,O,O,1
watch,_,O,O,1
over,_,O,O,1
their,_,O,O,1
own,_,O,O,1
.,_,O,O,1
Like,_,O,O,1
the,_,O,O,1
stewards,_,O,O,1
of,_,O,O,1
a,_,O,O,1
rich,_,O,O,1
man,_,O,O,1
",",_,O,O,1
they,_,O,O,1
are,_,O,O,1
apt,_,O,O,1
to,_,O,O,1
consider,_,O,O,1
attention,_,O,O,1
to,_,O,O,1
small,_,O,O,1
matters,_,O,O,1
as,_,O,O,1
not,_,O,O,1
for,_,O,O,1
their,_,O,O,1
master's,_,O,O,1
honour,_,O,O,1
",",_,O,O,1
and,_,O,O,1
very,_,O,O,1
easily,_,O,O,1
give,_,O,O,1
themselves,_,O,O,1
a,_,O,O,1
dispensation,_,O,O,1
from,_,O,O,1
having,_,O,O,1
it,_,O,O,1
.,_,O,O,1
Negligence,_,O,B-THE,1
and,_,O,I-THE,1
profusion,_,O,I-THE,1
",",_,O,O,1
therefore,_,O,O,1
",",_,O,O,1
must,_,O,O,1
always,_,O,O,1
prevail,_,O,O,1
",",_,O,O,1
more,_,O,O,1
or,_,O,O,1
less,_,O,O,1
",",_,O,O,1
in,_,O,O,1
the,_,O,O,1
management,_,O,O,1
of,_,O,O,1
the,_,O,O,1
affairs,_,O,O,1
of,_,O,O,1
such,_,O,O,1
a,_,O,O,1
company,_,O,O,1
.,_,O,O,1
Adam,_,O,O,1
Smith,_,O,O,1
",",_,O,O,1
The,_,O,O,1
Wealth,_,O,O,1
of,_,O,O,1
Nations,_,O,O,1
",",_,O,O,1
1776,_,O,O,1
",",_,O,O,1
Cannan,_,O,O,1
Edition,_,O,O,1
.,_,O,O,1
(,_,O,O,1
Modern,_,O,O,1
Library,_,O,O,1
",",_,O,O,1
New,_,O,O,1
York,_,O,O,1
",",_,O,O,1
1937,_,O,O,1
),_,O,O,1
p,_,O,O,1
.,_,O,O,1
700,_,O,O,1
.,_,O,O,1
©,_,O,O,1
1976,_,O,O,1
.,_,O,O,1
Many,_,O,O,2
corporate,_,O,O,2
assets,_,O,O,2
",",_,O,O,2
particularly,_,O,O,2
growth,_,O,O,2
opportunities,_,O,O,2
",",_,O,O,2
can,_,O,O,2
be,_,O,O,2
viewed,_,O,O,2
as,_,O,O,2
call,_,O,B-THE,2
options,_,O,I-THE,2
.,_,O,O,2
The,_,O,O,2
value,_,O,O,2
of,_,O,O,2
such,_,O,O,2
',_,O,O,2
real,_,O,B-THE,2
options,_,O,I-THE,2
',_,O,O,2
depends,_,O,O,2
on,_,O,O,2
discretionary,_,O,B-THE,2
future,_,O,I-THE,2
investment,_,O,I-THE,2
by,_,O,O,2
the,_,O,O,2
firm,_,O,O,2
.,_,O,O,2
Issuing,_,O,B-THE,2
risky,_,O,I-THE,2
debt,_,O,I-THE,2
reduces,_,O,O,2
the,_,O,O,2
present,_,O,B-THE,2
market,_,O,I-THE,2
value,_,O,I-THE,2
of,_,O,I-THE,2
a,_,O,I-THE,2
firm,_,O,I-THE,2
holding,_,O,I-THE,2
real,_,O,I-THE,2
options,_,O,I-THE,2
by,_,O,O,2
inducing,_,O,O,2
a,_,O,O,2
suboptimal,_,O,O,2
investment,_,O,O,2
strategy,_,O,O,2
or,_,O,O,2
by,_,O,O,2
forcing,_,O,O,2
the,_,O,O,2
firm,_,O,O,2
and,_,O,O,2
its,_,O,O,2
creditors,_,O,O,2
to,_,O,O,2
bear,_,O,O,2
the,_,O,O,2
costs,_,O,O,2
of,_,O,O,2
avoiding,_,O,O,2
the,_,O,O,2
suboptimal,_,O,O,2
strategy,_,O,O,2
.,_,O,O,2
The,_,O,O,2
paper,_,O,O,2
predicts,_,O,O,2
that,_,O,O,2
corporate,_,O,B-THE,2
borrowing,_,O,I-THE,2
is,_,O,O,2
inversely,_,O,O,2
related,_,O,O,2
to,_,O,O,2
the,_,O,O,2
proportion,_,O,B-THE,2
of,_,O,I-THE,2
market,_,O,I-THE,2
value,_,O,I-THE,2
accounted,_,O,I-THE,2
for,_,O,I-THE,2
by,_,O,I-THE,2
real,_,O,I-THE,2
options,_,O,I-THE,2
.,_,O,O,2
It,_,O,O,2
also,_,O,O,2
rationalizes,_,O,O,2
other,_,O,O,2
aspects,_,O,O,2
of,_,O,O,2
corporate,_,O,B-THE,2
borrowing,_,O,I-THE,2
behavior,_,O,I-THE,2
",",_,O,O,2
for,_,O,O,2
example,_,O,O,2
the,_,O,O,2
practice,_,O,O,2
of,_,O,O,2
matching,_,O,B-THE,2
maturities,_,O,I-THE,2
of,_,O,I-THE,2
assets,_,O,I-THE,2
and,_,O,I-THE,2
debt,_,O,I-THE,2
liabilities,_,O,I-THE,2
.,_,O,O,2
©,_,O,O,2
1977,_,O,O,2
.,_,O,O,2
We,_,O,O,3
investigate,_,O,O,3
the,_,O,O,3
relationship,_,O,O,3
between,_,O,O,3
management,_,O,B-THE,3
ownership,_,O,I-THE,3
and,_,O,O,3
market,_,O,B-THE,3
valuation,_,O,I-THE,3
of,_,O,I-THE,3
the,_,O,O,3
firm,_,O,O,3
",",_,O,O,3
as,_,O,O,3
measured,_,O,O,3
by,_,O,O,3
Tobin's,_,O,O,3
Q,_,O,O,3
.,_,O,O,3
In,_,O,O,3
a,_,O,O,3
1980,_,O,O,3
cross-section,_,O,O,3
of,_,O,O,3
371,_,O,O,3
Fortune,_,O,O,3
500,_,O,O,3
firms,_,O,O,3
",",_,O,O,3
we,_,O,O,3
find,_,O,O,3
evidence,_,O,O,3
of,_,O,O,3
a,_,O,O,3
significant,_,O,O,3
nonmonotonic,_,O,O,3
relationship,_,O,O,3
.,_,O,O,3
Tobin's,_,O,O,3
Q,_,O,O,3
first,_,O,O,3
increases,_,O,O,3
",",_,O,O,3
then,_,O,O,3
declines,_,O,O,3
",",_,O,O,3
and,_,O,O,3
finally,_,O,O,3
rises,_,O,O,3
slightly,_,O,O,3
as,_,O,O,3
ownership,_,O,B-THE,3
by,_,O,O,3
the,_,O,O,3
board,_,O,O,3
of,_,O,O,3
directors,_,O,O,3
rises,_,O,O,3
.,_,O,O,3
For,_,O,O,3
older,_,O,O,3
firms,_,O,O,3
",",_,O,O,3
there,_,O,O,3
is,_,O,O,3
evidence,_,O,O,3
that,_,O,O,3
Q,_,O,O,3
is,_,O,O,3
lower,_,O,O,3
when,_,O,O,3
the,_,O,O,3
firm,_,O,O,3
is,_,O,O,3
run,_,O,O,3
by,_,O,O,3
a,_,O,O,3
member,_,O,O,3
of,_,O,O,3
the,_,O,O,3
founding,_,O,O,3
family,_,O,O,3
than,_,O,O,3
when,_,O,O,3
it,_,O,O,3
is,_,O,O,3
run,_,O,O,3
by,_,O,O,3
an,_,O,O,3
officer,_,O,O,3
unrelated,_,O,O,3
to,_,O,O,3
the,_,O,O,3
founder,_,O,O,3
.,_,O,O,3
©,_,O,O,3
1988,_,O,O,3
.,_,O,O,3
This,_,O,O,4
paper,_,O,O,4
examines,_,O,O,4
properties,_,O,O,4
of,_,O,O,4
daily,_,O,B-THE,4
stock,_,O,I-THE,4
returns,_,O,I-THE,4
and,_,O,O,4
how,_,O,O,4
the,_,O,O,4
particular,_,O,O,4
characteristics,_,O,O,4
of,_,O,O,4
these,_,O,O,4
data,_,O,O,4
affect,_,O,O,4
event,_,O,O,4
study,_,O,O,4
methodologies,_,O,O,4
.,_,O,O,4
Daily,_,O,O,4
data,_,O,B-THE,4
generally,_,O,I-THE,4
present,_,O,O,4
few,_,O,O,4
difficulties,_,O,O,4
for,_,O,O,4
event,_,O,O,4
studies,_,O,O,4
.,_,O,O,4
Standard,_,O,O,4
procedures,_,O,O,4
are,_,O,O,4
typically,_,O,O,4
well-specified,_,O,O,4
even,_,O,O,4
when,_,O,O,4
special,_,O,B-THE,4
daily,_,O,B-THE,4
data,_,O,I-THE,4
characteristics,_,O,I-THE,4
are,_,O,O,4
ignored,_,O,O,4
.,_,O,O,4
However,_,O,O,4
",",_,O,O,4
recognition,_,O,B-THE,4
of,_,O,I-THE,4
autocorrelation,_,O,I-THE,4
in,_,O,O,4
daily,_,O,O,4
excess,_,O,O,4
returns,_,O,O,4
and,_,O,O,4
changes,_,O,O,4
in,_,O,O,4
their,_,O,O,4
variance,_,O,O,4
conditional,_,O,O,4
on,_,O,O,4
an,_,O,O,4
event,_,O,O,4
can,_,O,O,4
sometimes,_,O,O,4
be,_,O,O,4
advantageous,_,O,O,4
.,_,O,O,4
In,_,O,O,4
addition,_,O,O,4
",",_,O,O,4
tests,_,O,O,4
ignoring,_,O,O,4
cross-sectional,_,O,O,4
dependence,_,O,O,4
can,_,O,O,4
be,_,O,O,4
well-specified,_,O,O,4
and,_,O,O,4
have,_,O,O,4
higher,_,O,O,4
power,_,O,B-THE,4
than,_,O,O,4
tests,_,O,O,4
which,_,O,O,4
account,_,O,O,4
for,_,O,O,4
potential,_,O,O,4
dependence,_,O,O,4
.,_,O,O,4
©,_,O,O,4
1985,_,O,O,4
.,_,O,O,4
Recent,_,O,O,5
research,_,O,O,5
has,_,O,O,5
documented,_,O,O,5
large,_,O,O,5
differences,_,O,O,5
among,_,O,O,5
countries,_,O,O,5
in,_,O,O,5
ownership,_,O,B-THE,5
concentration,_,O,I-THE,5
in,_,O,I-THE,5
publicly,_,O,I-THE,5
traded,_,O,I-THE,5
firms,_,O,I-THE,5
",",_,O,O,5
in,_,O,O,5
the,_,O,O,5
breadth,_,O,O,5
and,_,O,O,5
depth,_,O,O,5
of,_,O,O,5
capital,_,O,B-THE,5
markets,_,O,I-THE,5
",",_,O,O,5
in,_,O,O,5
dividend,_,O,B-THE,5
policies,_,O,I-THE,5
",",_,O,O,5
and,_,O,O,5
in,_,O,O,5
the,_,O,O,5
access,_,O,B-THE,5
of,_,O,I-THE,5
firms,_,O,I-THE,5
to,_,O,I-THE,5
external,_,O,I-THE,5
finance,_,O,I-THE,5
.,_,O,O,5
A,_,O,O,5
common,_,O,O,5
element,_,O,O,5
to,_,O,O,5
the,_,O,O,5
explanations,_,O,O,5
of,_,O,O,5
these,_,O,O,5
differences,_,O,O,5
is,_,O,O,5
how,_,O,O,5
well,_,O,O,5
investors,_,O,O,5
",",_,O,O,5
both,_,O,O,5
shareholders,_,O,B-THE,5
and,_,O,O,5
creditors,_,O,B-THE,5
",",_,O,O,5
are,_,O,O,5
protected,_,O,B-THE,5
by,_,O,I-THE,5
law,_,O,I-THE,5
from,_,O,I-THE,5
expropriation,_,O,I-THE,5
by,_,O,I-THE,5
the,_,O,I-THE,5
managers,_,O,I-THE,5
and,_,O,I-THE,5
controlling,_,O,I-THE,5
shareholders,_,O,I-THE,5
of,_,O,O,5
firms,_,O,O,5
.,_,O,O,5
We,_,O,O,5
describe,_,O,O,5
the,_,O,O,5
differences,_,O,B-THE,5
in,_,O,I-THE,5
laws,_,O,I-THE,5
and,_,O,O,5
the,_,O,O,5
effectiveness,_,O,O,5
of,_,O,O,5
their,_,O,O,5
enforcement,_,O,O,5
across,_,O,O,5
countries,_,O,O,5
",",_,O,O,5
discuss,_,O,O,5
the,_,O,O,5
possible,_,O,O,5
origins,_,O,O,5
of,_,O,O,5
these,_,O,O,5
differences,_,O,O,5
",",_,O,O,5
summarize,_,O,O,5
their,_,O,O,5
consequences,_,O,O,5
",",_,O,O,5
and,_,O,O,5
assess,_,O,O,5
potential,_,O,O,5
strategies,_,O,O,5
of,_,O,O,5
corporate,_,O,B-THE,5
governance,_,O,I-THE,5
reform,_,O,I-THE,5
.,_,O,O,5
We,_,O,O,5
argue,_,O,O,5
that,_,O,O,5
the,_,O,O,5
legal,_,O,B-THE,5
approach,_,O,I-THE,5
is,_,O,O,5
a,_,O,O,5
more,_,O,O,5
fruitful,_,O,O,5
way,_,O,O,5
to,_,O,O,5
understand,_,O,O,5
corporate,_,O,B-THE,5
governance,_,O,I-THE,5
and,_,O,O,5
its,_,O,O,5
reform,_,O,O,5
than,_,O,O,5
the,_,O,O,5
conventional,_,O,O,5
distinction,_,O,O,5
between,_,O,O,5
bank-centered,_,O,B-THE,5
and,_,O,I-THE,5
market-centered,_,O,I-THE,5
financial,_,O,I-THE,5
systems,_,O,I-THE,5
.,_,O,O,5
©,_,O,O,5
2000,_,O,O,5
Elsevier,_,O,O,5
Science,_,O,O,5
B.V,_,O,O,5
.,_,O,O,5
This,_,O,O,6
paper,_,O,O,6
presents,_,O,O,6
a,_,O,O,6
simple,_,O,O,6
discrete-time,_,O,O,6
model,_,O,O,6
for,_,O,O,6
valuing,_,O,B-THE,6
options,_,O,I-THE,6
.,_,O,O,6
The,_,O,O,6
fundamental,_,O,O,6
economic,_,O,O,6
principles,_,O,O,6
of,_,O,O,6
option,_,O,B-THE,6
pricing,_,O,I-THE,6
by,_,O,I-THE,6
arbitrage,_,O,I-THE,6
methods,_,O,I-THE,6
are,_,O,O,6
particularly,_,O,O,6
clear,_,O,O,6
in,_,O,O,6
this,_,O,O,6
setting,_,O,O,6
.,_,O,O,6
Its,_,O,O,6
development,_,O,O,6
requires,_,O,O,6
only,_,O,O,6
elementary,_,O,O,6
mathematics,_,O,O,6
",",_,O,O,6
yet,_,O,O,6
it,_,O,O,6
contains,_,O,O,6
as,_,O,O,6
a,_,O,O,6
special,_,O,O,6
limiting,_,O,O,6
case,_,O,O,6
the,_,O,O,6
celebrated,_,O,O,6
Black-Scholes,_,O,O,6
model,_,O,O,6
",",_,O,O,6
which,_,O,O,6
has,_,O,O,6
previously,_,O,O,6
been,_,O,O,6
derived,_,O,O,6
only,_,O,O,6
by,_,O,O,6
much,_,O,O,6
more,_,O,O,6
difficult,_,O,O,6
methods,_,O,O,6
.,_,O,O,6
The,_,O,O,6
basic,_,O,O,6
model,_,O,O,6
readily,_,O,O,6
lends,_,O,O,6
itself,_,O,O,6
to,_,O,O,6
generalization,_,O,O,6
in,_,O,O,6
many,_,O,O,6
ways,_,O,O,6
.,_,O,O,6
Moreover,_,O,O,6
",",_,O,O,6
by,_,O,O,6
its,_,O,O,6
very,_,O,O,6
construction,_,O,O,6
",",_,O,O,6
it,_,O,O,6
gives,_,O,O,6
rise,_,O,O,6
to,_,O,O,6
a,_,O,O,6
simple,_,O,O,6
and,_,O,O,6
efficient,_,O,O,6
numerical,_,O,O,6
procedure,_,O,O,6
for,_,O,O,6
valuing,_,O,B-THE,6
options,_,O,I-THE,6
for,_,O,O,6
which,_,O,O,6
premature,_,O,B-THE,6
exercise,_,O,I-THE,6
may,_,O,O,6
be,_,O,O,6
optimal,_,O,O,6
.,_,O,O,6
©,_,O,O,6
1979,_,O,O,6
.,_,O,O,6
We,_,O,O,7
examine,_,O,O,7
the,_,O,O,7
separation,_,O,B-THE,7
of,_,O,I-THE,7
ownership,_,O,I-THE,7
and,_,O,I-THE,7
control,_,O,I-THE,7
for,_,O,O,7
"2,980",_,O,O,7
corporations,_,O,O,7
in,_,O,O,7
nine,_,O,O,7
East,_,O,O,7
Asian,_,O,O,7
countries,_,O,O,7
.,_,O,O,7
In,_,O,O,7
all,_,O,O,7
countries,_,O,O,7
",",_,O,O,7
voting,_,O,B-THE,7
rights,_,O,I-THE,7
frequently,_,O,O,7
exceed,_,O,O,7
cash-flow,_,O,B-THE,7
rights,_,O,I-THE,7
via,_,O,O,7
pyramid,_,O,B-THE,7
structures,_,O,I-THE,7
and,_,O,I-THE,7
cross-holdings,_,O,I-THE,7
.,_,O,O,7
The,_,O,O,7
separation,_,O,B-THE,7
of,_,O,I-THE,7
ownership,_,O,I-THE,7
and,_,O,I-THE,7
control,_,O,I-THE,7
is,_,O,O,7
most,_,O,O,7
pronounced,_,O,O,7
among,_,O,O,7
family-controlled,_,O,O,7
firms,_,O,O,7
and,_,O,O,7
small,_,O,O,7
firms,_,O,O,7
.,_,O,O,7
More,_,O,O,7
than,_,O,O,7
two-thirds,_,O,O,7
of,_,O,O,7
firms,_,O,O,7
are,_,O,O,7
controlled,_,O,O,7
by,_,O,O,7
a,_,O,O,7
single,_,O,O,7
shareholder,_,O,O,7
.,_,O,O,7
Managers,_,O,O,7
of,_,O,O,7
closely,_,O,B-THE,7
held,_,O,I-THE,7
firms,_,O,I-THE,7
tend,_,O,O,7
to,_,O,O,7
be,_,O,O,7
relatives,_,O,O,7
of,_,O,O,7
the,_,O,O,7
controlling,_,O,O,7
shareholder's,_,O,O,7
family,_,O,O,7
.,_,O,O,7
Older,_,O,B-THE,7
firms,_,O,I-THE,7
are,_,O,O,7
generally,_,O,O,7
family-controlled,_,O,B-THE,7
",",_,O,O,7
dispelling,_,O,O,7
the,_,O,O,7
notion,_,O,O,7
that,_,O,O,7
ownership,_,O,B-THE,7
becomes,_,O,O,7
dispersed,_,O,O,7
over,_,O,O,7
time,_,O,O,7
.,_,O,O,7
Finally,_,O,O,7
",",_,O,O,7
significant,_,O,O,7
corporate,_,O,B-THE,7
wealth,_,O,I-THE,7
in,_,O,O,7
East,_,O,O,7
Asia,_,O,O,7
is,_,O,O,7
concentrated,_,O,O,7
among,_,O,O,7
a,_,O,O,7
few,_,O,O,7
families,_,O,O,7
.,_,O,O,7
©,_,O,O,7
2000,_,O,O,7
Elsevier,_,O,O,7
Science,_,O,O,7
B.V,_,O,O,7
.,_,O,O,7
The,_,O,O,8
validity,_,O,O,8
of,_,O,O,8
the,_,O,O,8
classic,_,O,O,8
Black-Scholes,_,O,O,8
option,_,O,O,8
pricing,_,O,O,8
formula,_,O,O,8
depends,_,O,O,8
on,_,O,O,8
the,_,O,O,8
capability,_,O,B-THE,8
of,_,O,I-THE,8
investors,_,O,I-THE,8
to,_,O,I-THE,8
follow,_,O,I-THE,8
a,_,O,I-THE,8
dynamic,_,O,I-THE,8
portfolio,_,O,I-THE,8
strategy,_,O,I-THE,8
in,_,O,O,8
the,_,O,O,8
stock,_,O,O,8
that,_,O,O,8
replicates,_,O,O,8
the,_,O,O,8
payoff,_,O,B-THE,8
structure,_,O,I-THE,8
to,_,O,O,8
the,_,O,O,8
option,_,O,O,8
.,_,O,O,8
The,_,O,O,8
critical,_,O,O,8
assumption,_,O,O,8
required,_,O,O,8
for,_,O,O,8
such,_,O,O,8
a,_,O,O,8
strategy,_,O,O,8
to,_,O,O,8
be,_,O,O,8
feasible,_,O,O,8
",",_,O,O,8
is,_,O,O,8
that,_,O,O,8
the,_,O,O,8
underlying,_,O,B-THE,8
stock,_,O,I-THE,8
return,_,O,I-THE,8
dynamics,_,O,I-THE,8
can,_,O,O,8
be,_,O,O,8
described,_,O,O,8
by,_,O,O,8
a,_,O,O,8
stochastic,_,O,O,8
process,_,O,O,8
with,_,O,O,8
a,_,O,O,8
continuous,_,O,O,8
sample,_,O,O,8
path,_,O,O,8
.,_,O,O,8
In,_,O,O,8
this,_,O,O,8
paper,_,O,O,8
",",_,O,O,8
an,_,O,O,8
option,_,O,B-THE,8
pricing,_,O,I-THE,8
formula,_,O,I-THE,8
is,_,O,O,8
derived,_,O,O,8
for,_,O,O,8
the,_,O,O,8
more-general,_,O,O,8
case,_,O,O,8
when,_,O,O,8
the,_,O,O,8
underlying,_,O,O,8
stock,_,O,O,8
returns,_,O,O,8
are,_,O,O,8
generated,_,O,O,8
by,_,O,O,8
a,_,O,O,8
mixture,_,O,O,8
of,_,O,O,8
both,_,O,O,8
continuous,_,O,B-THE,8
and,_,O,I-THE,8
jump,_,O,I-THE,8
processes,_,O,I-THE,8
.,_,O,O,8
The,_,O,O,8
derived,_,O,O,8
formula,_,O,O,8
has,_,O,O,8
most,_,O,O,8
of,_,O,O,8
the,_,O,O,8
attractive,_,O,O,8
features,_,O,O,8
of,_,O,O,8
the,_,O,O,8
original,_,O,O,8
Black-Scholes,_,O,O,8
formula,_,O,O,8
in,_,O,O,8
that,_,O,O,8
it,_,O,O,8
does,_,O,O,8
not,_,O,O,8
depend,_,O,O,8
on,_,O,O,8
investor,_,O,B-THE,8
preferences,_,O,I-THE,8
or,_,O,O,8
knowledge,_,O,B-THE,8
of,_,O,I-THE,8
the,_,O,I-THE,8
expected,_,O,I-THE,8
return,_,O,I-THE,8
on,_,O,O,8
the,_,O,O,8
underlying,_,O,O,8
stock,_,O,O,8
.,_,O,O,8
Moreover,_,O,O,8
",",_,O,O,8
the,_,O,O,8
same,_,O,O,8
analysis,_,O,O,8
applied,_,O,O,8
to,_,O,O,8
the,_,O,O,8
options,_,O,O,8
can,_,O,O,8
be,_,O,O,8
extended,_,O,O,8
to,_,O,O,8
the,_,O,O,8
pricing,_,O,B-THE,8
of,_,O,I-THE,8
corporate,_,O,I-THE,8
liabilities,_,O,I-THE,8
.,_,O,O,8
©,_,O,O,8
1976,_,O,O,8
.,_,O,O,8
The,_,O,O,9
paper,_,O,O,9
derives,_,O,O,9
a,_,O,O,9
general,_,O,O,9
form,_,O,O,9
of,_,O,O,9
the,_,O,O,9
term,_,O,B-THE,9
structure,_,O,I-THE,9
of,_,O,I-THE,9
interest,_,O,I-THE,9
rates,_,O,I-THE,9
.,_,O,O,9
The,_,O,O,9
following,_,O,O,9
assumptions,_,O,O,9
are,_,O,O,9
made,_,O,O,9
:,_,O,O,9
(,_,O,O,9
A,_,O,O,9
0.1,_,O,O,9
),_,O,O,9
The,_,O,O,9
instantaneous,_,O,B-THE,9
(,_,O,I-THE,9
spot,_,O,I-THE,9
),_,O,I-THE,9
interest,_,O,I-THE,9
rate,_,O,I-THE,9
